desc_raw,desc_canonica,composicion_sim,hs_code,comp_hoja6
# ── Softshell / Americanas ────────────────────────────────────────────────────
SOFTSHELL SRA,SOFTSHELL Y AMERICANAS SRA,F SINTETICAS,6204331000,
AMERICANA SRA,SOFTSHELL Y AMERICANAS SRA,F SINTETICAS,6204331000,
SOFTSHELL Y AMERICANAS SRA,SOFTSHELL Y AMERICANAS SRA,F SINTETICAS,6204331000,
# ── Blusas ───────────────────────────────────────────────────────────────────
BLUSA SRA,BLUSA SRA,F SINTETICAS,6206400000,
# ── Camisas ──────────────────────────────────────────────────────────────────
CAMISA SR,CAMISA SR,F SINTETICAS,6205300000,
CAMISA SR,CAMISA SR,ALGODON,6205200090,
# ── Pantalones SR ────────────────────────────────────────────────────────────
PANTALON SR,PANTALON SR,F SINTETICAS,6203431100,
PANTALON SR,PANTALON SR,ALGODON,6203421100,
PANTALON CBRO,PANTALON SR,F SINTETICAS,6203431100,
PANTALON CBRO,PANTALON SR,ALGODON,6203421100,
PANTALON,PANTALON SR,F SINTETICAS,6203431100,
PANTALON,PANTALON SR,ALGODON,6203421100,
# ── Pantalones SRA ───────────────────────────────────────────────────────────
PANTALON SRA,PANTALON SRA,ALGODON,6204621100,
# ── Polo ─────────────────────────────────────────────────────────────────────
POLO SR,POLO SR,F SINTETICAS,6105201000,
# ── Chaquetas / Casacas ──────────────────────────────────────────────────────
CHAQUETA SR,CHAQUETA Y CASACA SR,F SINTETICAS,6203331000,
CASACA SR,CHAQUETA Y CASACA SR,F SINTETICAS,6203331000,
CHAQUETA Y CASACA SR,CHAQUETA Y CASACA SR,F SINTETICAS,6203331000,
# ── Batas / Delantales ───────────────────────────────────────────────────────
BATA SR,DELANTAL Y BATAS,F SINTETICAS,6211431000,
BATA SR,BATAS,ALGODON,6211421000,
BATAS,BATAS,ALGODON,6211421000,
DELANTAL,DELANTAL Y BATAS,F SINTETICAS,6211431000,
DELANTAL Y BATAS,DELANTAL Y BATAS,F SINTETICAS,6211431000,
# ── Cofia — composición se muestra como COMP en Hoja6 ────────────────────────
COFIA,COFIA,ALGODON,6505009090,COMP
COFIA ,COFIA,ALGODON,6505009090,COMP
# ── Jerseys / Sudaderas / Chalecos ───────────────────────────────────────────
JERSEY POLAR CBRO,JERSEY POLAR CBRO,F SINTETICAS,6110309100,
JERSEY POLAR SRA,JERSEY POLAR SRA,F SINTETICAS,6110309900,
SUDADERA SR,SUDADERA SR,F SINTETICAS,6110309100,
CHALECO POLAR CBRO,CHALECO POLAR CBRO,F SINTETICAS,6110309100,
CHALECO  POLAR CBRO,CHALECO POLAR CBRO,F SINTETICAS,6110309100,
# ── Camisetas ────────────────────────────────────────────────────────────────
CAMISETA SR,CAMISETA SR,F SINTETICAS,6109902000,
