raw,simplificado
# ── F SINTETICAS — mayoría sintética ─────────────────────────────────────────
100% POLIESTER,F SINTETICAS
93% POL 7% ELASTAN,F SINTETICAS
67% POL 33% ALG,F SINTETICAS
65% POL 35% ALG,F SINTETICAS
65% POL 35% VISC,F SINTETICAS
70% POL 30% ALG,F SINTETICAS
52% POL 48% ALG,F SINTETICAS
50% POL 50% ALG,F SINTETICAS
# ── ALGODON — mayoría algodón ────────────────────────────────────────────────
100% ALGODON,ALGODON
100% ALGODÓN,ALGODON
70% ALG 30% POL,ALGODON
59%ALG 39%POL 2%ELAST,ALGODON
60% ALG 40% POL,ALGODON
