file,invoice_no,pallets,boxes,gross_weight,net_weight,total_invoice
DM043822.pdf,DM043822,23,0,3380.2789,2483.2789,66857.92
DM043839.pdf,DM043839,8,0,1158.5118,699.5718,27113.01
DM043842.pdf,DM043842,4,0,780.083,624.083,12689.96
DM043843.pdf,DM043843,1,0,188.22,113.67,2174.4
DM043844.pdf,DM043844,23,0,4288.0393,3391.0393,89418.16
DM043853.pdf,DM043853,1,0,57.2,23.0,763.3
DM043854.pdf,DM043854,1,0,174.0534,135.0534,4304.91
DM043855.pdf,DM043855,3,0,417.3685,283.7785,11444.72
DM043856.pdf,DM043856,2,0,392.973,314.973,6106.18
DM043860.pdf,DM043860,12,0,1458.23,990.23,31391.84
TOTAL,,78,0,12294.9579,9058.6779,252264.40
