file,invoice_no,pallets,boxes,gross_weight,net_weight,total_invoice
02343986.pdf,Number,2,0,349.672,333.6,14208.0
02343987.pdf,Number,10,0,903.204,774.46,23351.96
02343988.pdf,Number,16,0,1306.156,1100.5,30703.33
02344333.pdf,Number,1,0,40.86,37.26,1020.6
02344491.pdf,Number,6,0,816.22,736.8,21654.59
02344494.pdf,Number,1,0,51.768,43.368,2461.39
02344728.pdf,Number,24,0,3908.374,2896.61,216882.73
02346449.pdf,Number,1,0,77.869611,42.017611,1199.75
02346450.pdf,Number,2,0,248.076,170.52,6543.826
TOTAL,,63,0,7702.1996,6135.1356,318026.18
